mH (GeV) 	H to bb 	H to ττ 	H to μμ 	H to ss 	H to cc 	H to tt
750 	4.21e-05 	6.36e-06 	2.20e-08 	3.19e-08 	1.94e-06 	1.23e-01
760 	4.08e-05 	6.18e-06 	2.14e-08 	3.10e-08 	1.88e-06 	1.21e-01
770 	3.96e-05 	6.00e-06 	2.08e-08 	3.00e-08 	1.82e-06 	1.18e-01
780 	3.84e-05 	5.83e-06 	2.02e-08 	2.91e-08 	1.77e-06 	1.15e-01
790 	3.73e-05 	5.67e-06 	1.97e-08 	2.83e-08 	1.72e-06 	1.13e-01
800 	3.62e-05 	5.52e-06 	1.91e-08 	2.74e-08 	1.67e-06 	1.10e-01
810 	3.51e-05 	5.36e-06 	1.86e-08 	2.66e-08 	1.62e-06 	1.07e-01
820 	3.41e-05 	5.22e-06 	1.81e-08 	2.58e-08 	1.57e-06 	1.05e-01
830 	3.31e-05 	5.07e-06 	1.76e-08 	2.51e-08 	1.52e-06 	1.02e-01
840 	3.21e-05 	4.93e-06 	1.71e-08 	2.44e-08 	1.48e-06 	1.00e-01
850 	3.12e-05 	4.80e-06 	1.66e-08 	2.37e-08 	1.44e-06 	9.77e-02
860 	3.03e-05 	4.67e-06 	1.62e-08 	2.30e-08 	1.40e-06 	9.54e-02
870 	2.94e-05 	4.55e-06 	1.58e-08 	2.23e-08 	1.36e-06 	9.31e-02
880 	2.86e-05 	4.42e-06 	1.53e-08 	2.17e-08 	1.32e-06 	9.09e-02
890 	2.78e-05 	4.31e-06 	1.49e-08 	2.11e-08 	1.28e-06 	8.87e-02
900 	2.70e-05 	4.19e-06 	1.45e-08 	2.05e-08 	1.24e-06 	8.66e-02
910 	2.62e-05 	4.08e-06 	1.41e-08 	1.99e-08 	1.21e-06 	8.45e-02
920 	2.55e-05 	3.97e-06 	1.38e-08 	1.93e-08 	1.17e-06 	8.24e-02
930 	2.48e-05 	3.86e-06 	1.34e-08 	1.88e-08 	1.14e-06 	8.04e-02
940 	2.41e-05 	3.76e-06 	1.30e-08 	1.83e-08 	1.11e-06 	7.84e-02
950 	2.34e-05 	3.66e-06 	1.27e-08 	1.77e-08 	1.08e-06 	7.65e-02
960 	2.27e-05 	3.56e-06 	1.23e-08 	1.72e-08 	1.05e-06 	7.46e-02
970 	2.21e-05 	3.47e-06 	1.20e-08 	1.68e-08 	1.02e-06 	7.27e-02
980 	2.15e-05 	3.38e-06 	1.17e-08 	1.63e-08 	9.88e-07 	7.09e-02
990 	2.09e-05 	3.29e-06 	1.14e-08 	1.58e-08 	9.61e-07 	6.91e-02
1000 	2.03e-05 	3.20e-06 	1.11e-08 	1.54e-08 	9.34e-07 	6.74e-02 
