mH (GeV) 	H to gg 	H to &γγ 	H to Zγ 	H to WW 	H to ZZ 	Total ΓH (GeV)
480 	6.39e-04 	4.21e-07 	8.87e-06 	5.46e-01 	2.59e-01 	5.91e+01
490 	6.17e-04 	3.34e-07 	8.19e-06 	5.46e-01 	2.60e-01 	6.35e+01
500 	5.96e-04 	2.64e-07 	7.58e-06 	5.46e-01 	2.61e-01 	6.80e+01
510 	5.75e-04 	2.09e-07 	7.03e-06 	5.46e-01 	2.61e-01 	7.27e+01
520 	5.55e-04 	1.65e-07 	6.53e-06 	5.47e-01 	2.62e-01 	7.76e+01
530 	5.36e-04 	1.30e-07 	6.08e-06 	5.48e-01 	2.63e-01 	8.26e+01
540 	5.17e-04 	1.04e-07 	5.67e-06 	5.49e-01 	2.65e-01 	8.77e+01
550 	4.99e-04 	8.52e-08 	5.30e-06 	5.50e-01 	2.66e-01 	9.31e+01
560 	4.82e-04 	7.16e-08 	4.95e-06 	5.51e-01 	2.67e-01 	9.87e+01
570 	4.65e-04 	6.28e-08 	4.64e-06 	5.53e-01 	2.68e-01 	1.04e+02
580 	4.49e-04 	5.80e-08 	4.35e-06 	5.55e-01 	2.70e-01 	1.10e+02
590 	4.34e-04 	5.64e-08 	4.08e-06 	5.56e-01 	2.71e-01 	1.16e+02
600 	4.19e-04 	5.77e-08 	3.84e-06 	5.58e-01 	2.72e-01 	1.23e+02
610 	4.04e-04 	6.12e-08 	3.61e-06 	5.60e-01 	2.73e-01 	1.29e+02
620 	3.90e-04 	6.66e-08 	3.40e-06 	5.62e-01 	2.75e-01 	1.36e+02
630 	3.77e-04 	7.36e-08 	3.21e-06 	5.64e-01 	2.76e-01 	1.43e+02
640 	3.65e-04 	8.19e-08 	3.03e-06 	5.66e-01 	2.77e-01 	1.50e+02
650 	3.52e-04 	9.12e-08 	2.86e-06 	5.67e-01 	2.79e-01 	1.58e+02
660 	3.40e-04 	1.01e-07 	2.70e-06 	5.69e-01 	2.80e-01 	1.66e+02
670 	3.29e-04 	1.12e-07 	2.56e-06 	5.71e-01 	2.81e-01 	1.74e+02
680 	3.18e-04 	1.23e-07 	2.42e-06 	5.73e-01 	2.82e-01 	1.82e+02
690 	3.07e-04 	1.35e-07 	2.29e-06 	5.75e-01 	2.83e-01 	1.90e+02
700 	2.97e-04 	1.47e-07 	2.18e-06 	5.77e-01 	2.85e-01 	1.99e+02
710 	2.87e-04 	1.59e-07 	2.06e-06 	5.79e-01 	2.86e-01 	2.08e+02
720 	2.78e-04 	1.71e-07 	1.96e-06 	5.81e-01 	2.87e-01 	2.18e+02
730 	2.69e-04 	1.83e-07 	1.86e-06 	5.82e-01 	2.88e-01 	2.27e+02
740 	2.60e-04 	1.95e-07 	1.77e-06 	5.84e-01 	2.89e-01 	2.37e+02
750 	2.51e-04 	2.07e-07 	1.69e-06 	5.86e-01 	2.90e-01 	2.48e+02
760 	2.43e-04 	2.19e-07 	1.61e-06 	5.88e-01 	2.91e-01 	2.58e+02
770 	2.36e-04 	2.30e-07 	1.53e-06 	5.89e-01 	2.92e-01 	2.69e+02
780 	2.28e-04 	2.41e-07 	1.46e-06 	5.91e-01 	2.93e-01 	2.81e+02
790 	2.21e-04 	2.53e-07 	1.40e-06 	5.93e-01 	2.94e-01 	2.92e+02
800 	2.14e-04 	2.63e-07 	1.33e-06 	5.94e-01 	2.95e-01 	3.04e+02
810 	2.07e-04 	2.74e-07 	1.27e-06 	5.96e-01 	2.96e-01 	3.17e+02
820 	2.00e-04 	2.84e-07 	1.22e-06 	5.97e-01 	2.97e-01 	3.30e+02
830 	1.94e-04 	2.94e-07 	1.16e-06 	5.99e-01 	2.98e-01 	3.43e+02
840 	1.88e-04 	3.04e-07 	1.12e-06 	6.01e-01 	2.99e-01 	3.57e+02
850 	1.82e-04 	3.13e-07 	1.07e-06 	6.02e-01 	3.00e-01 	3.71e+02
860 	1.76e-04 	3.22e-07 	1.02e-06 	6.03e-01 	3.01e-01 	3.86e+02
870 	1.71e-04 	3.30e-07 	9.83e-07 	6.05e-01 	3.02e-01 	4.01e+02
880 	1.65e-04 	3.39e-07 	9.44e-07 	6.06e-01 	3.03e-01 	4.16e+02
890 	1.60e-04 	3.47e-07 	9.07e-07 	6.08e-01 	3.03e-01 	4.32e+02
900 	1.55e-04 	3.54e-07 	8.72e-07 	6.09e-01 	3.04e-01 	4.49e+02
910 	1.50e-04 	3.61e-07 	8.38e-07 	6.10e-01 	3.05e-01 	4.66e+02
920 	1.46e-04 	3.67e-07 	8.07e-07 	6.12e-01 	3.06e-01 	4.84e+02
930 	1.41e-04 	3.75e-07 	7.77e-07 	6.13e-01 	3.06e-01 	5.02e+02
940 	1.37e-04 	3.81e-07 	7.49e-07 	6.14e-01 	3.07e-01 	5.21e+02
950 	1.33e-04 	3.87e-07 	7.22e-07 	6.16e-01 	3.08e-01 	5.40e+02
960 	1.29e-04 	3.93e-07 	6.97e-07 	6.17e-01 	3.08e-01 	5.60e+02
970 	1.25e-04 	3.98e-07 	6.73e-07 	6.18e-01 	3.09e-01 	5.81e+02
980 	1.21e-04 	4.03e-07 	6.50e-07 	6.19e-01 	3.10e-01 	6.02e+02
990 	1.17e-04 	4.07e-07 	6.29e-07 	6.20e-01 	3.10e-01 	6.24e+02
1000 	1.14e-04 	4.12e-07 	6.08e-07 	6.21e-01 	3.11e-01 	6.47e+02 
